ec	n_uniprot_xrefs	description
4.1.2.9	2	phosphoketolase.
4.1.2.10	9	(R)-mandelonitrile lyase.
4.1.2.11	1	hydroxymandelonitrile lyase.
4.1.2.12	0	2-dehydropantoate aldolase.
4.1.2.13	188	fructose-bisphosphate aldolase.
4.1.2.14	15	2-dehydro-3-deoxy-phosphogluconate aldolase.
4.1.2.17	11	L-fuculose-phosphate aldolase.
4.1.2.18	0	2-dehydro-3-deoxy-L-pentonate aldolase.
4.1.2.19	66	rhamnulose-1-phosphate aldolase.
4.1.2.20	42	2-dehydro-3-deoxyglucarate aldolase.
4.1.2.21	3	2-dehydro-3-deoxy-6-phosphogalactonate aldolase.
4.1.2.22	1	fructose-6-phosphate phosphoketolase.
4.1.2.23	0	3-deoxy-D-manno-octulosonate aldolase.
4.1.2.24	0	dimethylaniline-N-oxide aldolase.
4.1.2.25	43	dihydroneopterin aldolase.
4.1.2.26	0	phenylserine aldolase.
4.1.2.27	13	sphinganine-1-phosphate aldolase.
4.1.2.28	2	2-dehydro-3-deoxy-D-pentonate aldolase.
4.1.2.29	5	5-dehydro-2-deoxyphosphogluconate aldolase.
4.1.2.32	1	trimethylamine-oxide aldolase.
4.1.2.33	0	fucosterol-epoxide lyase.
4.1.2.34	1	4-(2-carboxyphenyl)-2-oxobut-3-enoate aldolase.
4.1.2.35	0	propioin synthase.
4.1.2.36	0	lactate aldolase.
4.1.2.38	1	benzoin aldolase.
4.1.2.40	108	tagatose-bisphosphate aldolase.
4.1.2.42	1	D-threonine aldolase.
4.1.2.43	33	3-hexulose-6-phosphate synthase.
4.1.2.44	1	2,3-epoxybenzoyl-CoA dihydrolase.
4.1.2.45	5	trans-o-hydroxybenzylidenepyruvate hydratase-aldolase.
4.1.2.46	1	aliphatic (R)-hydroxynitrile lyase.
4.1.2.47	2	(S)-hydroxynitrile lyase.
4.1.2.48	11	low-specificity L-threonine aldolase.
4.1.2.49	2	L-allo-threonine aldolase.
4.1.2.50	21	6-carboxytetrahydropterin synthase.
4.1.2.51	3	2-dehydro-3-deoxy-D-gluconate aldolase.
4.1.2.52	26	4-hydroxy-2-oxoheptanedioate aldolase.
4.1.2.53	33	2-keto-3-deoxy-L-rhamnonate aldolase.
4.1.2.54	2	L-threo-3-deoxy-hexylosonate aldolase.
4.1.2.55	4	2-dehydro-3-deoxy-phosphogluconate/2-dehydro-3-deoxy-6-phosphogalactonatealdolase.
4.1.2.56	2	2-amino-4,5-dihydroxy-6-oxo-7-(phosphonooxy)heptanoate synthase.
4.1.2.57	6	sulfofructosephosphate aldolase.
4.1.2.58	1	2-dehydro-3,6-dideoxy-6-sulfogluconate aldolase.
4.1.2.59	1	dihydroneopterin phosphate aldolase.
4.1.2.60	0	dihydroneopterin triphosphate aldolase.
4.1.2.61	1	feruloyl-CoA hydratase/lyase.
4.1.2.62	2	5-deoxyribulose 1-phosphate aldolase.
4.1.2.63	8	2-hydroxyacyl-CoA lyase.
4.1.2.64	0	2-dehydro-3-deoxy-L-fuconate aldolase.
4.1.2.65	2	ferulate hydratase/lyase.
4.1.2.66	1	4-coumarate hydratase/lyase.
4.1.3.1	56	isocitrate lyase.
4.1.3.3	85	N-acetylneuraminate lyase.
4.1.3.4	15	hydroxymethylglutaryl-CoA lyase.
4.1.3.6	9	citrate (pro-3S)-lyase.
4.1.3.13	0	oxalomalate lyase.
4.1.3.14	0	L-erythro-3-hydroxyaspartate aldolase.
4.1.3.16	9	4-hydroxy-2-oxoglutarate aldolase.
4.1.3.17	101	4-hydroxy-4-methyl-2-oxoglutarate aldolase.
4.1.3.22	0	citramalate lyase.
4.1.3.24	10	malyl-CoA lyase.
4.1.3.25	6	(S)-citramalyl-CoA lyase.
4.1.3.26	1	3-hydroxy-3-isohexenylglutaryl-CoA lyase.
4.1.3.27	134	anthranilate synthase.
4.1.3.30	37	methylisocitrate lyase.
4.1.3.32	1	2,3-dimethylmalate lyase.
4.1.3.34	5	citryl-CoA lyase.
4.1.3.35	0	(1-hydroxycyclohexan-1-yl)acetyl-CoA lyase.
4.1.3.36	21	1,4-dihydroxy-2-naphthoyl-CoA synthase.
4.1.3.38	8	aminodeoxychorismate lyase.
4.1.3.39	174	4-hydroxy-2-oxovalerate aldolase.
4.1.3.40	148	chorismate lyase.
4.1.3.41	2	3-hydroxy-D-aspartate aldolase.
4.1.3.42	4	(4S)-4-hydroxy-2-oxoglutarate aldolase.
4.1.3.43	8	4-hydroxy-2-oxohexanoate aldolase.
4.1.3.44	13	tRNA 4-demethylwyosine synthase (AdoMet-dependent).
4.1.3.45	1	3-hydroxybenzoate synthase.
4.1.3.46	1	(R)-citramalyl-CoA lyase.
4.1.99.1	56	tryptophanase.
4.1.99.2	11	tyrosine phenol-lyase.
4.1.99.3	23	deoxyribodipyrimidine photo-lyase.
4.1.99.5	25	aldehyde oxygenase (deformylating).
4.1.99.11	3	benzylsuccinate synthase.
4.1.99.12	246	3,4-dihydroxy-2-butanone-4-phosphate synthase.
4.1.99.13	3	(6-4)DNA photolyase.
4.1.99.14	3	spore photoproduct lyase.
4.1.99.16	1	geosmin synthase.
4.1.99.17	439	phosphomethylpyrimidine synthase.
4.1.99.19	2	2-iminoacetate synthase.
4.1.99.20	2	3-amino-4-hydroxybenzoate synthase.
4.1.99.22	277	GTP 3',8-cyclase.
4.1.99.23	8	5-hydroxybenzimidazole synthase.
4.1.99.24	2	L-tyrosine isonitrile synthase.
4.1.99.25	2	L-tryptophan isonitrile synthase.
4.1.99.26	4	3-amino-5-[(4-hydroxyphenyl)methyl]-4,4-dimethylpyrrolidin-2-onesynthase.
4.1.99.27	1	cyclopenase.
4.1.99.28	2	3'-dehydrocarminate deglycosidase.
4.1.99.29	2	5,8-dihydroxy-2-naphthoate synthase.
4.2.1.1	142	carbonic anhydrase.
4.2.1.2	118	fumarate hydratase.
4.2.1.3	76	aconitate hydratase.
4.2.1.5	1	arabinonate dehydratase.
4.2.1.6	48	galactonate dehydratase.
4.2.1.7	2	altronate dehydratase.
4.2.1.8	146	mannonate dehydratase.
4.2.1.9	584	dihydroxy-acid dehydratase.
4.2.1.10	617	3-dehydroquinate dehydratase.
4.2.1.11	920	phosphopyruvate hydratase.
4.2.1.12	7	phosphogluconate dehydratase.
4.2.1.17	259	enoyl-CoA hydratase.
4.2.1.18	5	methylglutaconyl-CoA hydratase.
4.2.1.19	558	imidazoleglycerol-phosphate dehydratase.
4.2.1.20	1002	tryptophan synthase.
4.2.1.22	13	cystathionine beta-synthase.
4.2.1.24	58	porphobilinogen synthase.
4.2.1.25	2	L-arabinonate dehydratase.
4.2.1.27	0	acetylenecarboxylate hydratase.
4.2.1.28	6	propanediol dehydratase.
4.2.1.30	1	glycerol dehydratase.
4.2.1.31	2	maleate hydratase.
4.2.1.32	18	L(+)-tartrate dehydratase.
4.2.1.33	1077	3-isopropylmalate dehydratase.
4.2.1.34	0	(S)-2-methylmalate dehydratase.
4.2.1.35	2	(R)-2-methylmalate dehydratase.
4.2.1.36	21	homoaconitate hydratase.
4.2.1.39	11	gluconate dehydratase.
4.2.1.40	6	glucarate dehydratase.
4.2.1.41	59	5-dehydro-4-deoxyglucarate dehydratase.
4.2.1.42	3	galactarate dehydratase.
4.2.1.43	5	2-dehydro-3-deoxy-L-arabinonate dehydratase.
4.2.1.44	38	myo-inosose-2 dehydratase.
4.2.1.45	1	CDP-glucose 4,6-dehydratase.
4.2.1.46	24	dTDP-glucose 4,6-dehydratase.
4.2.1.47	22	GDP-mannose 4,6-dehydratase.
4.2.1.48	2	D-glutamate cyclase.
4.2.1.49	170	urocanate hydratase.
4.2.1.50	1	pyrazolylalanine synthase.
4.2.1.51	45	prephenate dehydratase.
4.2.1.53	3	oleate hydratase.
4.2.1.54	2	lactoyl-CoA dehydratase.
4.2.1.55	3	3-hydroxybutyryl-CoA dehydratase.
4.2.1.56	3	itaconyl-CoA hydratase.
4.2.1.57	0	isohexenylglutaconyl-CoA hydratase.
4.2.1.59	783	3-hydroxyacyl-[acyl-carrier-protein] dehydratase.
4.2.1.62	0	5alpha-hydroxysteroid dehydratase.
4.2.1.65	4	3-cyanoalanine hydratase.
4.2.1.66	14	cyanide hydratase.
4.2.1.67	1	D-fuconate dehydratase.
4.2.1.68	5	L-fuconate dehydratase.
4.2.1.69	22	cyanamide hydratase.
4.2.1.70	59	pseudouridylate synthase.
4.2.1.73	0	protoaphin-aglucone dehydratase (cyclizing).
4.2.1.74	0	medium-chain-enoyl-CoA hydratase.
4.2.1.75	18	uroporphyrinogen-III synthase.
4.2.1.76	11	UDP-glucose 4,6-dehydratase.
4.2.1.77	23	trans-L-3-hydroxyproline dehydratase.
4.2.1.79	12	2-methylcitrate dehydratase.
4.2.1.80	25	2-oxopent-4-enoate hydratase.
4.2.1.81	2	D(-)-tartrate dehydratase.
4.2.1.82	4	xylonate dehydratase.
4.2.1.83	1	4-oxalmesaconate hydratase.
4.2.1.84	9	nitrile hydratase.
4.2.1.85	2	dimethylmaleate hydratase.
4.2.1.87	0	octopamine dehydratase.
4.2.1.88	0	synephrine dehydratase.
4.2.1.90	48	L-rhamnonate dehydratase.
4.2.1.91	10	arogenate dehydratase.
4.2.1.92	10	hydroperoxide dehydratase.
4.2.1.93	42	ATP-dependent NAD(P)H-hydrate dehydratase.
4.2.1.94	6	scytalone dehydratase.
4.2.1.95	1	kievitone hydratase.
4.2.1.96	258	4a-hydroxytetrahydrobiopterin dehydratase.
4.2.1.97	0	phaseollidin hydratase.
4.2.1.98	0	16alpha-hydroxyprogesterone dehydratase.
4.2.1.99	35	2-methylisocitrate dehydratase.
4.2.1.100	1	cyclohexa-1,5-dienecarbonyl-CoA hydratase.
4.2.1.103	1	cyclohexyl-isocyanide hydratase.
4.2.1.104	124	cyanase.
4.2.1.105	2	2-hydroxyisoflavanone dehydratase.
4.2.1.106	1	bile-acid 7alpha-dehydratase.
4.2.1.107	3	3alpha,7alpha,12alpha-trihydroxy-5beta-cholest-24-enoyl-CoA hydratase.
4.2.1.108	48	ectoine synthase.
4.2.1.109	195	methylthioribulose 1-phosphate dehydratase.
4.2.1.110	1	aldos-2-ulose dehydratase.
4.2.1.111	0	1,5-anhydro-D-fructose dehydratase.
4.2.1.112	1	acetylene hydratase.
4.2.1.113	94	o-succinylbenzoate synthase.
4.2.1.114	9	methanogen homoaconitase.
4.2.1.115	3	UDP-N-acetylglucosamine 4,6-dehydratase (inverting).
4.2.1.116	1	3-hydroxypropionyl-CoA dehydratase.
4.2.1.117	1	2-methylcitrate dehydratase (2-methyl-trans-aconitate forming).
4.2.1.118	5	3-dehydroshikimate dehydratase.
4.2.1.119	16	enoyl-CoA hydratase 2.
4.2.1.120	1	4-hydroxybutanoyl-CoA dehydratase.
4.2.1.121	5	colneleate synthase.
4.2.1.122	0	tryptophan synthase (indole-salvaging).
4.2.1.123	1	tetrahymanol synthase.
4.2.1.124	1	arabidiol synthase.
4.2.1.125	1	dammarenediol II synthase.
4.2.1.126	204	N-acetylmuramic acid 6-phosphate etherase.
4.2.1.127	1	linalool dehydratase.
4.2.1.128	1	lupan-3beta,20-diol synthase.
4.2.1.129	5	squalene--hopanol cyclase.
4.2.1.130	14	D-lactate dehydratase.
4.2.1.131	4	carotenoid 1,2-hydratase.
4.2.1.132	1	2-hydroxyhexa-2,4-dienoate hydratase.
4.2.1.133	5	copal-8-ol diphosphate hydratase.
4.2.1.134	24	very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase.
4.2.1.135	1	UDP-N-acetylglucosamine 4,6-dehydratase (configuration-retaining).
4.2.1.136	49	ADP-dependent NAD(P)H-hydrate dehydratase.
4.2.1.137	1	sporulenol synthase.
4.2.1.138	1	(+)-caryolan-1-ol synthase.
4.2.1.139	2	pterocarpan synthase.
4.2.1.140	2	gluconate/galactonate dehydratase.
4.2.1.141	2	2-dehydro-3-deoxy-D-arabinonate dehydratase.
4.2.1.142	4	5'-oxoaverantin cyclase.
4.2.1.143	4	versicolorin B synthase.
4.2.1.144	1	3-amino-5-hydroxybenzoate synthase.
4.2.1.145	1	capreomycidine synthase.
4.2.1.146	1	L-galactonate dehydratase.
4.2.1.147	16	5,6,7,8-tetrahydromethanopterin hydro-lyase.
4.2.1.148	4	2-methylfumaryl-CoA hydratase.
4.2.1.149	25	crotonobetainyl-CoA hydratase.
4.2.1.150	4	short-chain-enoyl-CoA hydratase.
4.2.1.151	3	chorismate dehydratase.
4.2.1.152	44	hydroperoxy icosatetraenoate dehydratase.
4.2.1.153	1	3-methylfumaryl-CoA hydratase.
4.2.1.154	1	tetracenomycin F2 cyclase.
4.2.1.155	1	methylthioacryloyl-CoA hydratase.
4.2.1.156	1	L-talarate dehydratase.
4.2.1.157	2	(R)-2-hydroxyisocaproyl-CoA dehydratase.
4.2.1.158	1	galactarate dehydratase (D-threo-forming).
4.2.1.159	4	dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose 2,3-dehydratase.
4.2.1.160	0	2,5-diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-oneisomerase/dehydratase.
4.2.1.161	1	bisanhydrobacterioruberin hydratase.
4.2.1.162	1	6-deoxy-6-sulfo-D-gluconate dehydratase.
4.2.1.163	1	2-oxo-hept-4-ene-1,7-dioate hydratase.
4.2.1.164	1	dTDP-4-dehydro-2,6-dideoxy-D-glucose 3-dehydratase.
4.2.1.165	0	chlorophyllide a 3(1)-hydratase.
4.2.1.166	1	phosphinomethylmalate isomerase.
4.2.1.167	2	(R)-2-hydroxyglutaryl-CoA dehydratase.
4.2.1.168	2	GDP-4-dehydro-6-deoxy-alpha-D-mannose 3-dehydratase.
4.2.1.169	0	3-vinylbacteriochlorophyllide d 3(1)-hydratase.
4.2.1.170	3	2-(omega-methylthio)alkylmalate dehydratase.
4.2.1.171	5	cis-L-3-hydroxyproline dehydratase.
4.2.1.172	1	trans-4-hydroxy-L-proline dehydratase.
4.2.1.173	1	ent-8alpha-hydroxylabd-13-en-15-yl diphosphate synthase.
4.2.1.174	2	peregrinol diphosphate synthase.
4.2.1.175	2	(R)-3-(aryl)lactoyl-CoA dehydratase.
4.2.1.176	5	L-lyxonate dehydratase.
4.2.1.177	1	(2S)-3-sulfopropanediol dehydratase.
4.2.1.178	0	difructose-dianhydride-III synthase.
4.2.1.179	0	difructose-anhydride-I synthase.
4.2.1.180	1	(E)-benzylidenesuccinyl-CoA hydratase.
4.2.1.181	0	3-carboxymethyl-3-hydroxy-acyl-[ACP] dehydratase.
4.2.1.182	22	phosphomevalonate dehydratase.
4.2.1.183	3	etheroleic acid synthase.
4.2.1.184	1	(3S)-3-hydroxy-D-aspartate dehydratase.
4.2.1.185	0	6-deoxy-6-sulfo-D-galactonate dehydratase.
4.2.1.186	0	3-cyano-L-homoalanine synthase.
4.2.2.1	9	hyaluronate lyase.
4.2.2.2	115	pectate lyase.
4.2.2.3	26	mannuronate-specific alginate lyase.
4.2.2.5	2	chondroitin AC lyase.
4.2.2.6	2	oligogalacturonide lyase.
4.2.2.7	3	heparin lyase.
4.2.2.8	5	heparin-sulfate lyase.
4.2.2.9	2	pectate disaccharide-lyase.
4.2.2.10	46	pectin lyase.
4.2.2.11	0	guluronate-specific alginate lyase.
4.2.2.12	1	xanthan lyase.
4.2.2.13	0	exo-(1->4)-alpha-D-glucan lyase.
4.2.2.14	1	glucuronan lyase.
4.2.2.15	1	anhydrosialidase.
4.2.2.16	0	levan fructotransferase (DFA-IV-forming).
4.2.2.17	1	inulin fructotransferase (DFA-I-forming).
4.2.2.18	0	inulin fructotransferase (DFA-III-forming).
4.2.2.19	1	chondroitin B lyase.
4.2.2.20	2	chondroitin-sulfate-ABC endolyase.
4.2.2.21	3	chondroitin-sulfate-ABC exolyase.
4.2.2.22	5	pectate trisaccharide-lyase.
4.2.2.23	24	rhamnogalacturonan endolyase.
4.2.2.24	1	rhamnogalacturonan exolyase.
4.2.2.25	2	gellan lyase.
4.2.2.26	2	oligo-alginate lyase.
4.2.2.27	0	pectin monosaccharide-lyase.
4.2.2.28	0	alpha-L-rhamnosyl-(1->4)-beta-D-glucuronate lyase.
4.2.2.29	5	peptidoglycan lytic transglycosylase.
4.2.2.n1	204	peptidoglycan lytic exotransglycosylase.
4.2.2.n2	41	peptidoglycan lytic endotransglycosylase.
4.2.3.1	29	threonine synthase.
4.2.3.2	5	ethanolamine-phosphate phospho-lyase.
4.2.3.3	228	methylglyoxal synthase.
4.2.3.4	589	3-dehydroquinate synthase.
4.2.3.5	717	chorismate synthase.
4.2.3.6	18	trichodiene synthase.
4.2.3.7	4	pentalenene synthase.
4.2.3.8	1	casbene synthase.
4.2.3.9	5	aristolochene synthase.
4.2.3.10	4	(-)-endo-fenchol synthase.
4.2.3.11	2	sabinene-hydrate synthase.
4.2.3.12	9	6-pyruvoyltetrahydropterin synthase.
4.2.3.13	8	(+)-delta-cadinene synthase.
4.2.3.15	44	myrcene synthase.
4.2.3.16	16	(4S)-limonene synthase.
4.2.3.17	4	taxadiene synthase.
4.2.3.18	6	abieta-7,13-diene synthase.
4.2.3.19	19	ent-kaurene synthase.
4.2.3.20	6	(R)-limonene synthase.
4.2.3.21	4	vetispiradiene synthase.
4.2.3.22	2	germacradienol synthase.
4.2.3.23	10	germacrene-A synthase.
4.2.3.24	1	amorpha-4,11-diene synthase.
4.2.3.25	10	S-linalool synthase.
4.2.3.26	16	R-linalool synthase.
4.2.3.27	4	isoprene synthase.
4.2.3.28	2	ent-cassa-12,15-diene synthase.
4.2.3.29	3	ent-sandaracopimaradiene synthase.
4.2.3.30	2	ent-pimara-8(14),15-diene synthase.
4.2.3.31	1	ent-pimara-9(11),15-diene synthase.
4.2.3.32	8	levopimaradiene synthase.
4.2.3.33	1	stemar-13-ene synthase.
4.2.3.34	1	stemod-13(17)-ene synthase.
4.2.3.35	2	syn-pimara-7,15-diene synthase.
4.2.3.36	1	terpentetriene synthase.
4.2.3.37	1	epi-isozizaene synthase.
4.2.3.38	4	alpha-bisabolene synthase.
4.2.3.39	1	epi-cedrol synthase.
4.2.3.40	3	(Z)-gamma-bisabolene synthase.
4.2.3.41	0	elisabethatriene synthase.
4.2.3.42	1	aphidicolan-16beta-ol synthase.
4.2.3.43	2	fusicocca-2,10(14)-diene synthase.
4.2.3.44	4	isopimara-7,15-diene synthase.
4.2.3.45	1	phyllocladan-16alpha-ol synthase.
4.2.3.46	13	alpha-farnesene synthase.
4.2.3.47	31	beta-farnesene synthase.
4.2.3.48	5	(3S,6E)-nerolidol synthase.
4.2.3.49	2	(3R,6E)-nerolidol synthase.
4.2.3.50	1	(+)-alpha-santalene synthase [(2Z,6Z)-farnesyl diphosphate cyclizing].
4.2.3.51	1	beta-phellandrene synthase (neryl-diphosphate-cyclizing).
4.2.3.52	9	(4S)-beta-phellandrene synthase (geranyl-diphosphate-cyclizing).
4.2.3.53	1	(+)-endo-beta-bergamotene synthase [(2Z,6Z)-farnesyl diphosphatecyclizing].
4.2.3.54	4	(-)-endo-alpha-bergamotene synthase [(2Z,6Z)-farnesyl diphosphatecyclizing].
4.2.3.55	8	(S)-beta-bisabolene synthase.
4.2.3.56	1	gamma-humulene synthase.
4.2.3.57	22	(-)-beta-caryophyllene synthase.
4.2.3.58	2	longifolene synthase.
4.2.3.59	4	(E)-gamma-bisabolene synthase.
4.2.3.60	2	germacrene C synthase.
4.2.3.61	6	5-epiaristolochene synthase.
4.2.3.62	1	(-)-gamma-cadinene synthase [(2Z,6E)-farnesyl diphosphate cyclizing].
4.2.3.63	0	(+)-cubenene synthase.
4.2.3.64	0	(+)-epicubenol synthase.
4.2.3.65	4	zingiberene synthase.
4.2.3.66	1	beta-selinene cyclase.
4.2.3.67	1	cis-muuroladiene synthase.
4.2.3.68	1	beta-eudesmol synthase.
4.2.3.69	1	(+)-alpha-barbatene synthase.
4.2.3.70	1	patchoulol synthase.
4.2.3.71	4	(E,E)-germacrene B synthase.
4.2.3.72	1	alpha-gurjunene synthase.
4.2.3.73	7	valencene synthase.
4.2.3.74	1	presilphiperfolanol synthase.
4.2.3.75	9	(-)-germacrene D synthase.
4.2.3.76	2	(+)-delta-selinene synthase.
4.2.3.77	4	(+)-germacrene D synthase.
4.2.3.78	1	beta-chamigrene synthase.
4.2.3.79	2	thujopsene synthase.
4.2.3.80	1	alpha-longipinene synthase.
4.2.3.81	10	exo-alpha-bergamotene synthase.
4.2.3.82	3	alpha-santalene synthase.
4.2.3.83	3	beta-santalene synthase.
4.2.3.84	1	10-epi-gamma-eudesmol synthase.
4.2.3.85	1	alpha-eudesmol synthase.
4.2.3.86	2	7-epi-alpha-selinene synthase.
4.2.3.87	4	alpha-guaiene synthase.
4.2.3.88	6	viridiflorene synthase.
4.2.3.89	1	(+)-beta-caryophyllene synthase.
4.2.3.90	1	5-epi-alpha-selinene synthase.
4.2.3.91	2	cubebol synthase.
4.2.3.92	3	(+)-gamma-cadinene synthase.
4.2.3.93	4	delta-guaiene synthase.
4.2.3.94	3	gamma-curcumene synthase.
4.2.3.95	1	(-)-alpha-cuprenene synthase.
4.2.3.96	1	avermitilol synthase.
4.2.3.97	1	(-)-delta-cadinene synthase.
4.2.3.98	3	(+)-T-muurolol synthase.
4.2.3.99	1	labdatriene synthase.
4.2.3.100	5	bicyclogermacrene synthase.
4.2.3.101	1	7-epi-sesquithujene synthase.
4.2.3.102	1	sesquithujene synthase.
4.2.3.103	3	ent-isokaurene synthase.
4.2.3.104	17	alpha-humulene synthase.
4.2.3.105	8	tricyclene synthase.
4.2.3.106	22	(E)-beta-ocimene synthase.
4.2.3.107	9	(+)-car-3-ene synthase.
4.2.3.108	12	1,8-cineole synthase.
4.2.3.109	1	(-)-sabinene synthase.
4.2.3.110	5	(+)-sabinene synthase.
4.2.3.111	10	(-)-alpha-terpineol synthase.
4.2.3.112	6	(+)-alpha-terpineol synthase.
4.2.3.113	20	terpinolene synthase.
4.2.3.114	11	gamma-terpinene synthase.
4.2.3.115	5	alpha-terpinene synthase.
4.2.3.116	1	(+)-camphene synthase.
4.2.3.117	3	(-)-camphene synthase.
4.2.3.118	5	2-methylisoborneol synthase.
4.2.3.119	15	(-)-alpha-pinene synthase.
4.2.3.120	13	(-)-beta-pinene synthase.
4.2.3.121	10	(+)-alpha-pinene synthase.
4.2.3.122	2	(+)-beta-pinene synthase.
4.2.3.123	4	beta-sesquiphellandrene synthase.
4.2.3.124	8	2-deoxy-scyllo-inosose synthase.
4.2.3.125	10	alpha-muurolene synthase.
4.2.3.126	10	gamma-muurolene synthase.
4.2.3.127	8	beta-copaene synthase.
4.2.3.128	5	beta-cubebene synthase.
4.2.3.129	2	(+)-sativene synthase.
4.2.3.130	1	tetraprenyl-beta-curcumene synthase.
4.2.3.131	6	miltiradiene synthase.
4.2.3.132	6	neoabietadiene synthase.
4.2.3.133	11	alpha-copaene synthase.
4.2.3.134	2	5-phosphooxy-L-lysine phospho-lyase.
4.2.3.135	12	Delta(6)-protoilludene synthase.
4.2.3.136	1	alpha-isocomene synthase.
4.2.3.137	2	(E)-2-epi-beta-caryophyllene synthase.
4.2.3.138	1	(+)-epi-alpha-bisabolol synthase.
4.2.3.139	1	valerena-4,7(11)-diene synthase.
4.2.3.140	2	cis-abienol synthase.
4.2.3.141	1	sclareol synthase.
4.2.3.142	0	7-epizingiberene synthase [(2Z,6Z)-farnesyl diphosphate cyclizing].
4.2.3.143	1	kunzeaol synthase.
4.2.3.144	2	geranyllinalool synthase.
4.2.3.145	4	ophiobolin F synthase.
4.2.3.146	1	cyclooctat-9-en-7-ol synthase.
4.2.3.147	2	pimaradiene synthase.
4.2.3.148	1	cembrene C synthase.
4.2.3.149	2	nephthenol synthase.
4.2.3.150	1	cembrene A synthase.
4.2.3.151	1	pentamethylcyclopentadecatrienol synthase.
4.2.3.152	6	2-epi-5-epi-valiolone synthase.
4.2.3.153	18	(5-formylfuran-3-yl)methyl phosphate synthase.
4.2.3.154	2	demethyl-4-deoxygadusol synthase.
4.2.3.155	2	2-epi-valiolone synthase.
4.2.3.156	3	hydroxysqualene synthase.
4.2.3.157	3	(+)-isoafricanol synthase.
4.2.3.158	1	(-)-spiroviolene synthase.
4.2.3.159	1	tsukubadiene synthase.
4.2.3.160	6	(2S,3R,6S,9S)-(-)-protoillud-7-ene synthase.
4.2.3.161	1	(3S)-(+)-asterisca-2(9),6-diene synthase.
4.2.3.162	1	(-)-alpha-amorphene synthase.
4.2.3.163	6	(+)-corvol ether B synthase.
4.2.3.164	2	(+)-eremophilene synthase.
4.2.3.165	2	(1R,4R,5S)-(-)-guaia-6,10(14)-diene synthase.
4.2.3.166	1	(+)-(1(10)E,4E,6S,7R)-germacradien-6-ol synthase.
4.2.3.167	2	dolabella-3,7-dien-18-ol synthase.
4.2.3.168	1	dolathalia-3,7,11-triene synthase.
4.2.3.169	1	7-epi-alpha-eudesmol synthase.
4.2.3.170	1	4-epi-cubebol synthase.
4.2.3.171	6	(+)-corvol ether A synthase.
4.2.3.172	1	10-epi-juneol synthase.
4.2.3.173	3	tau-cadinol synthase.
4.2.3.174	2	(2E,6E)-hedycaryol synthase.
4.2.3.175	1	10-epi-cubebol synthase.
4.2.3.176	1	sesterfisherol synthase.
4.2.3.177	1	beta-thujene synthase.
4.2.3.178	1	stellata-2,6,19-triene synthase.
4.2.3.179	1	guaia-4,6-diene synthase.
4.2.3.180	1	pseudolaratriene synthase.
4.2.3.181	1	selina-4(15),7(11)-diene synthase.
4.2.3.182	2	pristinol synthase.
4.2.3.183	1	nezukol synthase.
4.2.3.184	1	5-hydroxy-alpha-gurjunene synthase.
4.2.3.185	3	ent-atiserene synthase.
4.2.3.186	1	ent-13-epi-manoyl oxide synthase.
4.2.3.187	1	(2Z,6E)-hedycaryol synthase.
4.2.3.188	1	beta-geranylfarnesene synthase.
4.2.3.189	2	9,13-epoxylabda-14-ene synthase.
4.2.3.190	1	manoyl oxide synthase.
4.2.3.191	1	cycloaraneosene synthase.
4.2.3.192	1	labda-7,13(16),14-triene synthase.
4.2.3.193	2	(12E)-labda-8(17),12,14-triene synthase.
4.2.3.194	3	(-)-drimenol synthase.
4.2.3.195	1	rhizathalene A synthase.
4.2.3.196	1	dolabradiene synthase.
4.2.3.197	2	eudesmane-5,11-diol synthase.
4.2.3.198	8	alpha-selinene synthase.
4.2.3.199	3	(-)-5-epieremophilene synthase.
4.2.3.200	1	beta-pinacene synthase.
4.2.3.201	1	hydropyrene synthase.
4.2.3.202	1	hydropyrenol synthase.
4.2.3.203	1	isoelisabethatriene synthase.
4.2.3.204	7	valerianol synthase.
4.2.3.205	0	sodorifen synthase.
4.2.3.206	1	(-)-cyatha-3,12-diene synthase.
4.2.3.207	0	neoverrucosan-5beta-ol synthase.
4.2.3.208	0	verrucosan-2beta-ol synthase.
4.2.3.209	0	(R)-axinyssene synthase.
4.2.3.210	0	lydicene synthase.
4.2.3.211	1	(+)-exo-beta-bergamotene synthase.
4.2.3.212	0	(+)-delta-cadinol synthase.
4.2.3.213	1	colleterpenol synthase.
4.2.3.214	1	dolasta-1(15),8-diene synthase.
4.2.3.215	1	delta-araneosene synthase.
4.2.3.216	1	somaliensene A synthase.
4.2.3.217	1	somaliensene B synthase.
4.2.3.218	1	variediene synthase.
4.2.3.219	1	(2E)-alpha-cericerene synthase.
4.2.3.220	1	talaropentaene synthase.
4.2.3.221	1	macrophomene synthase.
4.2.3.222	1	phomopsene synthase.
4.2.3.223	1	bonnadiene synthase.
4.2.3.224	1	allokutznerene synthase.
4.2.3.225	1	cattleyene synthase.
4.2.3.226	1	(+)-2-epi-prezizaene synthase.
4.2.3.227	1	(-)-alpha-cedrene synthase.
4.2.3.228	3	(Z)-beta-ocimene synthase.
4.2.3.229	3	ent-beyerene synthase.
4.2.3.230	2	2-deoxy-4-epi-scyllo-inosose synthase.
